ID	choice	outcome	trial
73	4	30	1
73	4	35	2
73	4	39	3
73	4	28	4
73	4	28	5
73	4	31	6
73	4	34	7
73	4	38	8
73	4	39	9
73	4	41	10
73	4	46	11
73	4	40	12
73	4	47	13
73	4	40	14
73	4	43	15
73	4	40	16
73	4	40	17
73	4	40	18
73	4	43	19
73	4	32	20
73	4	39	21
73	4	42	22
73	4	44	23
73	4	44	24
73	4	42	25
73	4	42	26
73	2	27	27
73	3	21	28
73	1	68	29
73	1	68	30
73	1	64	31
73	1	78	32
73	1	64	33
73	1	75	34
73	1	62	35
73	1	70	36
73	1	64	37
73	1	49	38
73	1	58	39
73	1	62	40
73	1	66	41
73	1	60	42
73	1	49	43
73	1	61	44
73	1	63	45
73	1	53	46
73	1	57	47
73	1	49	48
73	1	56	49
73	1	46	50
73	1	42	51
73	1	45	52
73	1	54	53
73	1	47	54
73	1	55	55
73	1	57	56
73	1	48	57
73	1	45	58
73	1	47	59
73	1	58	60
73	1	45	61
73	1	47	62
73	1	50	63
73	1	53	64
73	1	44	65
73	1	50	66
73	1	51	67
73	1	54	68
73	1	55	69
73	1	51	70
73	1	58	71
73	1	56	72
73	1	46	73
73	1	48	74
73	1	44	75
73	1	52	76
73	4	80	77
73	4	82	78
73	4	76	79
73	4	81	80
